iter	Passed	Remaining
407	5701	8272
408	5714	8256
409	5725	8239
410	5738	8223
411	5750	8206
412	5762	8190
413	5774	8173
414	5788	8159
415	5799	8142
416	5811	8124
417	5823	8108
418	5835	8092
419	5848	8075
420	5861	8060
421	5872	8043
422	5887	8030
423	5899	8014
424	5911	7998
425	5924	7982
426	5936	7966
427	5948	7949
428	5960	7933
429	5972	7916
430	5985	7901
431	5997	7886
432	6009	7869
433	6022	7853
434	6034	7838
435	6048	7824
436	6060	7807
437	6073	7792
438	6085	7777
439	6099	7762
440	6111	7747
441	6124	7731
442	6135	7714
443	6147	7698
444	6159	7682
445	6171	7666
446	6183	7649
447	6196	7635
448	6209	7619
449	6220	7602
450	6232	7586
451	6245	7571
452	6257	7556
453	6269	7540
454	6281	7523
455	6293	7507
456	6305	7491
457	6317	7475
458	6330	7460
459	6342	7445
460	6355	7430
461	6367	7414
462	6379	7399
463	6392	7384
464	6405	7369
465	6419	7355
466	6431	7340
467	6445	7327
468	6457	7311
469	6469	7295
470	6480	7278
471	6492	7262
472	6503	7245
473	6515	7229
474	6527	7214
475	6539	7199
476	6552	7184
477	6563	7167
478	6576	7153
479	6590	7139
480	6602	7124
481	6614	7108
482	6627	7094
483	6639	7078
484	6651	7062
485	6663	7046
486	6675	7032
487	6688	7017
488	6700	7002
489	6712	6986
490	6725	6972
491	6739	6958
492	6752	6943
493	6765	6929
494	6776	6913
495	6788	6898
496	6801	6883
497	6813	6868
498	6825	6852
499	6841	6841
500	6854	6826
501	6867	6812
502	6879	6797
503	6891	6782
504	6903	6766
505	6915	6751
506	6927	6736
507	6939	6721
508	6954	6708
509	6966	6693
510	6979	6678
511	6991	6663
512	7003	6648
513	7015	6633
514	7030	6620
515	7042	6605
516	7055	6591
517	7067	6576
518	7081	6563
519	7094	6548
520	7105	6532
521	7117	6517
522	7128	6501
523	7141	6486
524	7153	6472
525	7166	6458
526	7179	6443
527	7191	6428
528	7203	6413
529	7215	6398
530	7228	6384
531	7243	6372
532	7255	6356
533	7268	6343
534	7280	6328
535	7292	6312
536	7303	6296
537	7315	6282
538	7329	6268
539	7341	6253
540	7353	6239
541	7367	6225
542	7381	6212
543	7394	6198
544	7406	6183
545	7418	6168
546	7431	6154
547	7444	6140
548	7459	6127
549	7472	6113
550	7484	6099
551	7497	6084
552	7509	6070
553	7522	6056
554	7534	6041
555	7547	6026
556	7559	6012
557	7573	5998
558	7585	5983
559	7598	5970
560	7611	5956
561	7623	5941
562	7636	5927
563	7648	5912
564	7660	5897
565	7673	5883
566	7684	5868
567	7697	5854
568	7709	5839
569	7722	5825
570	7734	5810
571	7746	5796
572	7759	5782
573	7771	5767
574	7784	5753
575	7796	5739
576	7809	5724
577	7821	5710
578	7834	5696
579	7845	5681
580	7857	5666
581	7869	5651
582	7880	5636
583	7892	5622
584	7906	5608
585	7917	5593
586	7928	5578
587	7940	5563
588	7952	5548
589	7963	5534
590	7976	5520
591	7988	5505
