iter	Logloss
322	0.1071453307
323	0.1070628588
324	0.1068809408
325	0.1067161922
326	0.1066441527
327	0.1065068138
328	0.1064072535
329	0.1062574416
330	0.1060970569
331	0.105944429
332	0.1058634604
333	0.1055635527
334	0.105464081
335	0.1053745217
336	0.1052188908
337	0.1050844996
338	0.1049903273
339	0.1048152171
340	0.1046378653
341	0.1044895879
342	0.1043998296
343	0.1042577883
344	0.1041186223
345	0.1040331883
346	0.1038233313
347	0.1037713369
348	0.1036539725
349	0.1035642287
350	0.1034015601
351	0.103194758
352	0.1031307986
353	0.1030840275
354	0.1029885117
355	0.1027827403
356	0.1026348052
357	0.1025365849
358	0.1024516575
359	0.1023505568
360	0.1022250442
361	0.1020756487
362	0.1019744006
363	0.1018463855
364	0.101819558
365	0.1017250624
366	0.1016433243
367	0.1014770197
368	0.1014011515
369	0.1012248546
370	0.1010681503
371	0.1010483711
372	0.1009592995
373	0.1008389732
374	0.100691761
375	0.1005287562
376	0.1004661087
377	0.1003205764
378	0.1001837536
379	0.1000837132
380	0.1000123658
381	0.09987594221
382	0.09975639028
383	0.09958250959
384	0.09955658772
385	0.09942844343
386	0.09928837047
387	0.09918387741
388	0.09904056265
389	0.09886363281
390	0.0986689282
391	0.09858342254
392	0.09850316342
393	0.0984784249
394	0.09837177163
395	0.09819917293
396	0.09803309592
397	0.09794594457
398	0.09781942473
399	0.09774814742
400	0.09763835742
401	0.09761438501
402	0.09756323137
403	0.0975177218
404	0.09745567526
405	0.09730817821
406	0.09716847334
407	0.09708796972
408	0.09693332802
409	0.0968603883
410	0.09671804054
411	0.09666585486
412	0.09659126125
413	0.09651879593
414	0.09639270961
415	0.09630543685
416	0.0962250885
417	0.09613112825
418	0.09605687134
419	0.09597776425
420	0.09580235031
421	0.09572593223
422	0.09560014257
423	0.09552901554
424	0.09544761431
425	0.09536140327
426	0.09524003539
427	0.09521848548
428	0.09505978524
429	0.09499135574
430	0.0948815464
431	0.09478839513
432	0.09469342863
433	0.09459032095
434	0.09448671514
435	0.09438927378
436	0.09437554623
437	0.09429385519
438	0.09416048616
439	0.09401628735
440	0.09392486467
441	0.09380174122
442	0.09373667463
443	0.09366573079
444	0.09364886953
445	0.09352597302
446	0.09347063163
447	0.09340585948
448	0.0932403942
449	0.09319253672
450	0.09309248426
451	0.09291339115
452	0.09280824243
453	0.09271642805
454	0.09266713254
455	0.09264718007
456	0.09252696308
457	0.09241057633
458	0.09227409538
459	0.09211945992
460	0.0920201084
461	0.09192454802
462	0.09181790742
463	0.0917098886
464	0.09159862946
465	0.09147327557
466	0.09135681242
467	0.09127513451
468	0.09118602839
469	0.09113454677
470	0.09112003203
471	0.0910626876
472	0.09099777623
473	0.0909338464
474	0.09092006541
475	0.09079117474
476	0.09067786119
477	0.0906113656
478	0.09052761415
479	0.09039154013
480	0.0902859635
481	0.09021890308
482	0.09012751397
483	0.09005790816
484	0.08996509967
485	0.08986754844
486	0.0897757092
487	0.08968974218
488	0.08953582259
489	0.08945020576
490	0.0893919702
491	0.08927857031
492	0.08916358251
493	0.0890541696
494	0.08890742441
495	0.08879183437
496	0.08869383592
497	0.08860263411
498	0.08851213107
499	0.08844810946
500	0.08838653166
501	0.08822534541
502	0.08817109477
503	0.08809087655
504	0.08803107243
505	0.08796410209
506	0.08785544011
507	0.08781254545
508	0.08768668784
509	0.08756206302
510	0.08750259611
511	0.08742303651
512	0.08735375656
513	0.08729134583
514	0.08717942342
515	0.08704450171
516	0.08693738268
517	0.08686806802
518	0.08673035412
519	0.08661952002
520	0.08656291045
521	0.0864785739
522	0.08646649465
523	0.08634456585
524	0.08622254598
525	0.08618901806
526	0.08609423087
527	0.08598398143
528	0.08586270319
529	0.08577321924
530	0.08566474121
531	0.08557379396
532	0.08550669138
533	0.08537433045
534	0.08531375043
535	0.08526529967
536	0.08518656284
537	0.08507802957
538	0.08493518579
539	0.08488721925
540	0.08479043953
541	0.08468747945
542	0.08461058442
543	0.08453626639
544	0.08442787816
545	0.08434264009
546	0.08421886102
547	0.08414814404
548	0.08405314936
549	0.0839477393
550	0.08390026893
551	0.08383660737
552	0.08374714602
553	0.08360805462
554	0.08349807367
555	0.08342106638
556	0.08332427059
557	0.0832450973
558	0.08318682429
559	0.08309322042
560	0.08295336176
561	0.08289531489
562	0.08284355183
563	0.08282815387
564	0.08278618306
565	0.08271428
566	0.08263531919
567	0.08251417703
568	0.08246368723
569	0.08237621032
570	0.08229217392
571	0.08216157341
572	0.08208084205
573	0.08204674146
574	0.08197562523
575	0.08189103266
576	0.08183387848
577	0.08173789853
578	0.08167185955
579	0.08166029373
580	0.08159220963
581	0.08150919734
582	0.08142872012
583	0.08137482141
584	0.08129492546
585	0.081229287
586	0.08121205745
587	0.08116510236
588	0.08115543356
589	0.08107048441
590	0.08099895571
591	0.0808659941
592	0.08076500048
593	0.08068909573
594	0.08060354802
595	0.0805202333
596	0.08042440903
597	0.08031981988
598	0.08029966187
599	0.08024703969
600	0.08019591514
601	0.0800949049
602	0.08000872006
603	0.07987619787
604	0.07980830244
605	0.07969297733
606	0.07958247877
607	0.07951263694
608	0.07944674151
609	0.07938180464
610	0.07930191451
611	0.07920635865
612	0.07910536895
613	0.07902140301
614	0.07895029127
615	0.07894145563
616	0.07888139476
617	0.07881232104
618	0.0788033285
619	0.07873252369
620	0.07855651127
621	0.07848005989
622	0.07839958505
623	0.07833101407
624	0.07828029986
625	0.0781697682
626	0.07806853211
627	0.07803715486
628	0.07794613822
629	0.077883205
630	0.07780232799
631	0.07771500018
632	0.07765512068
633	0.07761391271
634	0.07753933455
635	0.07747573269
636	0.07739698022
637	0.07733706826
638	0.07721428264
639	0.07720533908
640	0.07714397764
641	0.07707547308
642	0.07705173068
643	0.0769596096
644	0.07693156368
645	0.07689225134
646	0.07681898789
647	0.07678476631
648	0.07665308963
649	0.07657797984
650	0.07651053747
651	0.07646510958
652	0.07642558686
653	0.07638636212
654	0.07635430622
655	0.07631083426
656	0.07625439529
657	0.07621732978
658	0.07615686886
659	0.07613194785
660	0.07606980841
661	0.07600464253
662	0.07593246917
663	0.07585469318
664	0.0758239789
665	0.07567793119
666	0.07558060691
667	0.07550473599
668	0.07543646177
669	0.07537849138
670	0.07525239972
671	0.07516621748
672	0.07510931995
673	0.07507529753
674	0.07495147813
675	0.07488246064
676	0.07480054131
677	0.07475307726
678	0.07467376034
679	0.07464302917
680	0.07458213259
681	0.07449007907
682	0.07443620731
683	0.0743892073
684	0.07436600646
685	0.07429845352
686	0.074215322
687	0.0741591777
688	0.07409985277
689	0.07403412665
690	0.07391241381
691	0.07382377191
692	0.07377981647
693	0.07370890802
694	0.07364708231
695	0.07361233722
696	0.07354349377
697	0.07349417488
698	0.0734692129
699	0.07340557703
700	0.07332676475
701	0.07326399853
702	0.07320910137
703	0.07317177198
704	0.07314027968
705	0.0730744671
706	0.07298030168
707	0.07290717989
708	0.07285015338
709	0.07279303482
710	0.07272842222
711	0.07264697488
712	0.07258507839
713	0.07255246654
714	0.07252542903
715	0.07249230836
716	0.07237079636
717	0.07234161446
718	0.07228550567
719	0.07220381228
720	0.07213236949
721	0.07204607979
722	0.07195790075
723	0.07194883339
724	0.07190943504
725	0.07183449829
726	0.07179497609
727	0.07175482446
728	0.07163908733
729	0.0716282797
730	0.0715660453
731	0.07151131051
732	0.07147880448
733	0.07141443775
734	0.07138702126
735	0.07133567938
736	0.07127633917
737	0.07122805987
738	0.07116565575
739	0.07115457716
740	0.07111005817
741	0.07105516795
742	0.07100361269
743	0.07097296967
744	0.07092361176
745	0.07089433457
746	0.07088636591
747	0.07084559202
748	0.07079006576
749	0.07072741771
750	0.07068272647
751	0.07067433287
752	0.07060428063
753	0.0705124336
754	0.07046478702
755	0.07040534272
756	0.07036596695
757	0.07030420222
758	0.07023584504
759	0.07016395622
760	0.07005568792
761	0.07000457033
762	0.0699116319
763	0.06984794689
764	0.06976537483
765	0.06971776338
766	0.06967203545
767	0.06966465079
768	0.06959890668
769	0.06952381289
770	0.06948575516
771	0.06940587847
772	0.06935489687
773	0.06930394262
774	0.06923358293
775	0.06920067622
776	0.06915962405
777	0.06911387044
778	0.06909976428
779	0.06903795004
780	0.06899832257
781	0.06895967341
782	0.06890415349
783	0.06887563355
784	0.06881426904
785	0.06880467009
786	0.0687563168
787	0.06868761483
788	0.0686226499
789	0.06854661378
790	0.06850468198
791	0.06845791132
792	0.06842272202
793	0.06838503778
794	0.06836799573
795	0.06832641671
796	0.06827309055
797	0.06823268577
798	0.06815038635
799	0.06814236578
800	0.06804814835
801	0.06798551182
802	0.06793723777
803	0.06786548797
804	0.06782041735
805	0.06779278914
806	0.0677303761
807	0.0676552393
808	0.06762645266
809	0.06758475245
810	0.06751448946
811	0.06748105886
812	0.06745396658
813	0.06738892144
814	0.06734374783
815	0.06727227961
816	0.06721731833
817	0.06715830305
818	0.06709308244
819	0.06705553081
820	0.06702892567
821	0.06697936671
822	0.0669061822
823	0.06684089223
824	0.06681717946
825	0.06678294679
826	0.06675806079
827	0.06669483252
828	0.0666287141
829	0.06659367744
830	0.06654983426
831	0.06652825766
832	0.06647378674
833	0.06642053392
834	0.06634299501
835	0.06629634089
836	0.0662581545
837	0.06618955914
838	0.06611763746
839	0.06604478536
840	0.06601170988
841	0.06597790992
842	0.06594616445
843	0.06588237435
844	0.0658293245
845	0.06579809916
846	0.06577436955
847	0.0657148264
848	0.0656564538
849	0.0656053854
850	0.06553569242
851	0.06546207199
852	0.06538172863
853	0.0653447505
854	0.06528621492
855	0.06522798767
856	0.06517852025
857	0.06516179491
858	0.0651090915
859	0.06504982749
860	0.06502168835
861	0.06500228362
862	0.06496876408
863	0.06493333078
864	0.06491101932
865	0.06489192807
866	0.06484996119
867	0.06482591322
868	0.06477085831
869	0.06474948101
870	0.06470748011
871	0.06462804666
872	0.06459199045
873	0.06456417768
874	0.06451682928
875	0.06444925802
876	0.06438571066
877	0.06432372631
878	0.06427206798
879	0.06422985636
880	0.06417054084
881	0.0641245793
882	0.06402961158
883	0.06399699196
884	0.06396594997
885	0.06392603218
886	0.06388888698
887	0.0638412033
888	0.06379731798
889	0.06375379359
890	0.063711313
891	0.06367005528
892	0.06364776178
893	0.06359232158
894	0.06357538268
895	0.06349926314
896	0.06345795342
897	0.06339687985
898	0.06332626053
899	0.06324773652
900	0.06320414338
901	0.0631781358
902	0.06314499605
903	0.06308522231
904	0.06303325606
905	0.06299159366
906	0.06294485712
907	0.06289952157
908	0.06288930864
909	0.0628438962
910	0.06279929243
911	0.06277855725
912	0.06272891906
913	0.06266171113
914	0.06260529052
915	0.06259065664
916	0.06258454712
917	0.06256710014
918	0.06251596455
919	0.06248323012
920	0.06244302306
921	0.06238488604
922	0.06232444547
923	0.06226859572
924	0.06220520738
925	0.06215699175
926	0.06211933041
927	0.06210154102
928	0.06206962786
929	0.06202446951
930	0.06197501916
931	0.06189035375
932	0.06186823857
933	0.06182574759
934	0.06177822557
935	0.06170603522
936	0.06168169566
937	0.0616196396
938	0.06159366819
939	0.06156054677
940	0.06153850885
941	0.06151047765
942	0.06146261445
943	0.06140285544
944	0.0613889804
945	0.06132837629
946	0.06131152496
947	0.06130122962
948	0.06126257205
949	0.06120424209
950	0.06118753785
951	0.06116932746
952	0.06110685214
953	0.06106950019
954	0.06105791452
955	0.06102230765
956	0.06098945491
957	0.06093183076
958	0.06089262735
959	0.06081928966
960	0.0608033983
961	0.06075429529
962	0.06071664978
963	0.06068117562
964	0.06064666788
965	0.0605959211
966	0.06055133582
967	0.06049790042
968	0.06045765897
969	0.06041683545
970	0.06039312328
971	0.0603553818
972	0.06033023118
973	0.06029493392
974	0.06023283521
975	0.06021728762
976	0.06016048046
977	0.06014433404
978	0.06010756614
979	0.06004563718
980	0.0600175514
981	0.05998488473
982	0.05994808366
983	0.05989160241
984	0.05987028696
985	0.05984608968
986	0.05979288551
987	0.05977086929
988	0.0597098701
989	0.05967571882
990	0.0596406421
991	0.05961821756
992	0.05960205508
993	0.05957472972
994	0.05955309294
995	0.05950906278
996	0.0594726012
997	0.05944440214
998	0.05941927554
999	0.05937819032
